product_name,brand-name,rating,ingredients,product_url
Therapy Session Hair Mask,Eva Nyc,4.6,"Water, Cetyl Alcohol, Cetearyl Alcohol, Cetrimonium Chloride, Behentrimonium Chloride, Propylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Argania Spinosa (Argan) Kernel Oil, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Tocopheryl Acetate, Panthenol, Ethylhexylglycerin, Dimethicone, Fragrance, Phenoxyethanol, Potassium Sorbate, Disodium EDTA, Citric Acid, Ascorbic Acid.",https://www.ulta.com/p/therapy-session-hair-mask-xlsImpprod5160075
Caviar Anti-Aging Replenishing Moisture CC Cream,Alterna,4.2,"Water/Aqua/Eau, Cetearyl Alcohol, Cyclopentasiloxane, Dimethicone, Cyclohexasiloxane, Propanediol, Glycerin, Panthenol, Polyquaternium-55, Behentrimonium Chloride, Alaria Esculenta Extract, Caviar Extract, Tocopheryl Acetate, Polysilicone-15, Ascorbic Acid, Phospholipids, Helianthus Annuus (Sunflower) Seed Oil, Chamomilla Recutita (Matricaria) Extract, Honey Extract/Mel Extract/Extrait de Miel, Citrus Limon (Lemon) Peel Extract, Superoxide Dismutase, Polyquaternium-11, Polyimide-1, Saccharomyces/Magnesium Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Iron Ferment, Tocopherol, Butylene Glycol, Amodimethicone, C11-15 Pareth-7, Laureth-9, Trideceth-12, Isopropyl Alcohol, PEG-4 Laurate, PEG-4 Dilaurate, Caprylyl Glycol, PEG-4, Alcohol Denat., Sodium Acetate, Disodium EDTA, Citric Acid, Acetic Acid, Iodopropynyl Butylcarbamate, Phenoxyethanol, Potassium Sorbate, Fragrance (Parfum).",https://www.ulta.com/p/caviar-anti-aging-replenishing-moisture-cc-cream-xlsImpprod12291945
No.0 Intensive Bond Building Hair Treatment,OLAPLEX,4.1,"Water (Aqua/Eau), Bis-Aminopropyl Diglycol Dimaleate, Phenoxyethanol, Sodium Benzoate.",https://www.ulta.com/p/no0-intensive-bond-building-hair-treatment-pimprod2029340
Minoxidil 5% Foam 2 Pack,Virtue,4.4,"Active: Minoxidil 5% w/w (without propellant). Inactive: Butylated Hydroxytoluene, Cetyl Alcohol, Citric Acid Anhydrous, Dehydrated Alcohol, Isobutane, Lactic Acid, N-butane, Polysorbate 60, Propane, Purified Water, Stearyl Alcohol.",https://www.ulta.com/p/minoxidil-5-foam-2-pack-pimprod2029676
Strength Recovery Repairing Leave-In Conditioner Spray with Heat Protection,Biolage,4.6,"Aqua / Water / Eau, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, Quaternium-80, Phenoxyethanol, Propylene Glycol, Isopropyl Alcohol, Parfum / Fragrance, Squalane, Butyrospermum Parkii Butter / Shea Butter, Limonene, Chlorhexidine Dihydrochloride, Citric Acid, Hexyl Cinnamal, Coumarin, Benzyl Alcohol, Linalool, Amyl Cinnamal, Geraniol, Isoeugenol, Alpha-Isomethyl Ionone, Hydroxycitronellal, Benzyl Benzoate, Cinnamyl Alcohol",https://www.ulta.com/p/strength-recovery-repairing-leave-in-conditioner-spray-with-heat-protection-pimprod2034333
Hair Repair Treatment Kit,OLAPLEX,4.4,See individual product page for full ingredient list.,https://www.ulta.com/p/hair-repair-treatment-kit-pimprod2034005
Intensive Spray,Bondi Boost,4.7,"Aloe Barbadensis (Aloe Vera) Leaf Juice*, Glycerin, Sorbitan Oleate Decylglucoside Crosspolymer, Hydrolyzed Jojoba Esters, Melaleuca Alternafolia (Tea Tree) Leaf Oil, Mentha Piperita (Peppermint) Leaf Oil*, Panthenol (Pro Vitamin B5), Propanediol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Hibiscus Sabdariffa Flower Extract (Roselle), Hylocereus Undatus Fruit (Dragonfruit) Extract*, Urtica Dioica (Nettle) Leaf Extract, Equisetum Arvense (Horsetail) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Procapil, Redensyl, Pentylene Glycol,Caprylyl Glycol, Ethylhexylglycerin, Fragrance, Citric Acid.,*Certified Organic Ingredients",https://www.ulta.com/p/intensive-spray-pimprod2014471
No.8 Bond Intense Moisture Mask,OLAPLEX,4.5,"Water (Aqua/Eau), Dimethicone, Cetyl Alcohol, Persea Gratissima (Avocado) Oil, Glycerin, Stearyl Alcohol, Ethylhexyl Olivate, Behentrimonium Chloride, Cetrimonium Bromide, Limnanthes Alba (Meadowfoam) Seed Oil, Oryza Sativa (Rice) Bran Oil, Quaternium-80, Squalane, Rosa Canina (Rose Hip) Seed Extract, Ceramide AP, Ceramide NP, Hydrolyzed Jojoba Esters, Sodium Hyaluronate, Sodium PCA, Bis-Aminopropyl Diglycol Dimaleate, Arginine, Jojoba Esters, Panthenol, Carthamus Tinctorius (Safflower) Seed Oil, Cannabis Sativa (Hemp) Seed Oil, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Guar Hydroxypropyltrimonium Chloride, Histidine , Hydroxyethylcellulose, Phenylalanine, Aspartic Acid, PCA, Phosphatidylcholine, Citric Acid, Sodium Lactate, Ethylhexylglycerin, Sodium Benzoate, Phenoxyethanol, Bis-Cetearyl Amodimethicone, Propylene Glycol, Isopropyl Alcohol, Sodium Nitrate, Tocopherol, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene.",https://www.ulta.com/p/no8-bond-intense-moisture-mask-pimprod2029355
Keratin Healing Oil Hair Treatment,L'anza,4.7,"Cyclopentasiloxane, Dimethicone, Caprylyl Methicone, Crambe Abyssinica Seed Oil, Orbignya Speciosa Kernel Oil, Astrocaryum Murumuru Seed Butter, Keratin Amino Acids, Euterpe Oleracea Fruit Oil, Coffea Arabica Seed Oil, Cereus Grandiflorus Flower Extract, Dimethiconol Meadowfoamate, Sodium Pca, Magnesium Pca, Zinc Pca, Manganese Pca, Isopropyl Palmitate, Trimethylsiloxyamodimethicone, Benzotriazolyl Dodecyl P-cresol, Polysilicone-15, Propylene Glycol, Water/Eau (Aqua), Fragrance (Parfum), Cinnamyl Alcohol, Alphaisomethyl Ionone, Red 17 (CI 26100), Yellow 11 (CI 47000).",https://www.ulta.com/p/keratin-healing-oil-hair-treatment-xlsImpprod10112070
Limited Edition Color Fanatic Multi-Tasking Leave-In Spray,Pureology,4.6,"Aqua/Water/Eau, Cocos Nucifera Oil/Coconut Oil, Amodimethicone, Polyquaternium-37, Ppg-5-Ceteth-10 Phosphate, Phenoxyethanol, Propylene Glycol Dicaprylate/Dicaprate, Acetamide Mea, Sodium Hydroxide, Parfum/Fragrance, Lactamide Mea, Dimethicone, Butylene Glycol, Ppg-1 Trideceth-6, Trideceth-6, Behentrimonium Chloride, Xylose, Ethylhexylglycerin, Helianthus Annuus Seed Extract/Sunflower Seed Extract, Linalool, Dimethiconol, Benzophenone-4, Isopropyl Alcohol, Cetrimonium Chloride, Tocopherol, Camelina Sativa Seed Oil, Ascorbyl Glucoside, Olea Europaea Fruit Oil/Olive Fruit Oil, Benzyl Alcohol, Geraniol, Citronellol, Benzyl Salicylate, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Isoeugenol, BHT, Sodium Chloride, Melanin, Potassium Sorbate, Pentylene Glycol, Citric Acid.",https://www.ulta.com/p/limited-edition-color-fanatic-multi-tasking-leave-in-spray-pimprod2018635
Intense Hair Density Serum,Grow Gorgeous,4.2,"Aqua/Water/Eau, Butylene Glycol, Caffeine, Maltodextrin, Dimethyl Isosorbide, Propanediol, Glycerin, PPG-26-Buteth-26, Fragrance (Parfum), Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Polyacrylate Crosspolymer-6, Arginine, Xanthan Gum, Hydroxyethylcellulose, Lactic Acid, Glycine Soja (Soybean) Germ Extract, Triticum Vulgare (Wheat) Germ Extract, Chlorphenesin, Allantoin, Sodium Benzoate, Hydrolyzed Hyaluronic Acid, Pisum Sativum (Pea) Sprout Extract, Gluconolactone, Trisodium Ethylenediamine Disuccinate, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Glycine, Larix Europaea (Larch) Wood Extract, T-Butyl Alcohol, Citric Acid, Dextran, Butylphenyl Methylpropional, Limonene, Linalool, Rhizobian Gum, Sodium Hyaluronate, Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Zinc Chloride, Camellia Sinensis (Green Tea) Leaf Extract, Acetyl Tetrapeptide-3, Trifolium Pratense (Clover) Flower Extract, Sodium Hydroxide, Calcium Gluconate.",https://www.ulta.com/p/intense-hair-density-serum-pimprod2013574
Multi-Peptide Serum for Hair Density,The Ordinary,4.2,"Aqua (Water), Propanediol, Butylene Glycol, Glycerin, Caffeine, Biotinoyl Tripeptide-1, Acetyl Tetrapeptide-3, Larix Europaea Wood Extract, Pisum Sativum Extract, Scutellaria Baicalensis Root Extract, Triticum Vulgare Germ Extract, Glycine Soja Germ Extract, Trifolium Pratense Flower Extract, Camellia Sinensis Leaf Extract, Apigenin, Oleanolic Acid, Arginine, Glycine, Calcium Gluconate, Zinc Chloride, Lactic Acid, Gluconolactone, Dextran, Maltodextrin, Hydroxyethylcellulose, Xanthan Gum, Pentylene Glycol, Dimethyl Isosorbide, Polysorbate 20, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Trisodium Ethylenediamine Disuccinate, Sodium Metabisulfite, Sodium Benzoate, Phenoxyethanol, Chlorphenesin.",https://www.ulta.com/p/multi-peptide-serum-hair-density-pimprod2022659
Weightless Air Dry Cream,Curlsmith,4.2,"Water (Aqua), Ricinus Communis (Castor) Seed Oil, Dicaprylyl Carbonate, Cetearyl Alcohol, Orbignya Speciosa (Babassu) Kernel Oil, Behentrimonium Chloride, Sodium Hyaluronate, Astrocaryum Murumuru Seed Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea Butter), Hylocereus Undatus (Dragon Fruit) Fruit Extract, Paullinia Cupana (Guarana) Seed Extract, Urtica Dioica (Nettle) Leaf Extract*, Zingiber Officinale (Ginger) Root Extract*, Polyquaternium-10, Panthenol, Guar Hydroxypropyltrimonium Chloride, Tocopherol, Disodium Edta, Ethylhexylglycerin, Glycerin, Citric Acid, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Linalool, Limonene, Citronellol, Fragrance (Parfum).,*Organic Ingredients",https://www.ulta.com/p/weightless-air-dry-cream-pimprod2015566
Hair Growth Supplements for Women,Viviscal,4.1,"AminoMar Marine Complex, Vitamin C (From Acerola (Fruit) Powder And Ascorbic Acid), Microcrystalline Cellulose, Maltodextrin, Horsetail (Stem) Extract, Iron (From Ferrous Fumarate), Hydroxypropyl Cellulose, Zinc (From Zinc Oxide), Biotin, Niacin (As Niacinamide), Croscarmellose Sodium, Magnesium Stearate, Millet Seed Extract, Natural Orange Flavor, Methyl Cellulose, Silicon Dioxide, Glycerin. Contains: Fish (Shark), Mollusks.",https://www.ulta.com/p/hair-growth-supplements-women-xlsImpprod3560105
"Scalp Recovery Kit, for itchy, Flaky Scalp, 100% Dandruff Elimination",Nioxin,4.4,"Cleanser: Active Ingredients: Pyrithione Zinc. Inactive Ingredients: Water, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamide MEA, Zinc Carbonate, Glycol Distearate, Dimethicone, Cetyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Sodium Xylenesulfonate, Hydrochloric Acid, Magnesium Sulfate, Sodium Chloride, Sodium Benzoate, Fragrance, DMDM Hydantoin, Mentha Piperita (Peppermint) Oil, Menthol, Mentha Arvensis Leaf Oil, Magnesium Carbonate Hydroxide, Benzyl Alcohol, Camellia Sinensis Leaf Extract, Yeast Extract, Lecithin, Saccharomyces/Magnesium Ferment, Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment.,Conditioner: Active ingredient: Zinc Pyrithione.Inactive ingredients:Water, Stearyl Alcohol, Cetyl Alcohol, Stearamidopropyl Dimethylamine, Dimethicone, Glutamic Acid, Benzyl Alcohol, Phenoxyethanol, Fragrance, Propylparaben, Methylparaben, Citric Acid, Mentha Piperita (Peppermint) Oil, Mentha Arvensis Leaf Oil, Menthol, Camellia Sinensis Leaf Extract, Yeast Extract, Lecithin, Saccharomyces/Magnesium Ferment, Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment.,Serum: Active ingredient: Zinc Pyrithione. Inactive ingredients:Water, Stearamidopropyl Dimethylamine, Cetyl Alcohol, Hydroxyethylcellulose, Quaternium-18, Benzyl Alcohol, Phenoxyethanol, Stearyl Alcohol, PEG-2M, Dimethicone, Cetearyl Alcohol, Methylparaben, Propylparaben, Fragrance, Glyceryl Stearate, Oleyl Alcohol, Citric Acid, Polysorbate 60, Mentha Piperita (Peppermint) Oil, Menthol, Mentha Arvensis Leaf Oil, Yeast Extract, Camellia Sinensis Leaf Extract, Lecithin, PPG-26-Buteth-26, Saccharomyces/Magnesium Ferment, Dimethyl Isosorbide, Carnitine HCL, PEG/PPG-18/18 Dimethicone, Ethoxydiglycol, Oryza Sativa (Rice) Bran, PEG-40 Hydrogenated Castor Oil, Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Acacia Senegal Gum, Ubiquinone.",https://www.ulta.com/p/scalp-recovery-kit-itchy-flaky-scalp-100-dandruff-elimination-xlsImpprod4450421
Dark Oil Silkening Fragrant Hair Mist,Sebastian,4.6,"Butane, Alcohol Denat., Disiloxane, Propane, Isobutane, Dimethicone, Glyceryl Oleate, Cetrimonium Chloride, Parfum/Fragrance, Isopropyl Alcohol, Aqua/Water/Eau, Hexyl Cinnamal, Coumarin, Citronellol, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Linalool, Limonene, Lecithin, Ascorbyl Palmitate, Tocopherol, Hydrogenated Palm Glycerides Citrate.",https://www.ulta.com/p/dark-oil-silkening-fragrant-hair-mist-pimprod2008152
Infusion Keratin Replenisher,Keratin Complex,4.4,"Water/Aqua/Eau, Hydrolyzed Keratin, Cetearyl Alcohol, Phenyl Trimethicone, Cyamopsis Tetragonoloba Gum, Glyceryl Cocoate, Cyclopentasiloxane, Dimethicone, Hydrolyzed Soy Protein, Hydrolyzed Wheat Protein, Glycerin, Echinacea Purpurea Extract (Coneflower), Rosmarinus Officinalis Extract (Rosemary) , Amyl Acetate, Fragrance/Parfum",https://www.ulta.com/p/infusion-keratin-replenisher-xlsImpprod10111266
Silk Therapy Original,Biosilk,4.7,"Cyclopentasiloxane, Cyclotetrasiloxane, Dimethiconol, Cyclohexasiloxane, Alcohol Denat., C12-15 Alkyl Benzoate, Phenoxyethanol, Panthenol, Ethyl Ester of Hydrolyzed Silk, Fragrance (Parfum), Benzyl Benzoate, Hexyl Cinnamal, Linalool, Alpha-Isomethyl Ionone, Citronellol, Geraniol, Hydroxycitronellal, Butylphenyl Methylpropional, Eugenol.",https://www.ulta.com/p/silk-therapy-original-xlsImpprod6480302
Silk Express Miracle Silk Leave-In,It's A 10,4.4,"Water (Aqua/Eau), Propylene Glycol, Cetearyl Alcohol, Cyclopentasiloxane, Behentrimonium Chloride, Quaternium-80, Phenoxyethanol, Fragrance (Parfum), Methylparaben, Panthenol, Propylparaben, Ethylparaben, Elaeis Guineensis (Palm) Oil, Hydrolyzed Silk, Morus Alba Leaf Extract, Benzyl Salicylate, Limonene, Hydroxycitronellal, Linalool",https://www.ulta.com/p/silk-express-miracle-silk-leave-in-xlsImpprod10792059
Prep Rally Prime & Prep Detangler,Drybar,4.2,"Aqua (Water, Eau), Propanediol, PPG-26-Buteth-26, Glycerin, Aloe Barbadensis Leaf Juice, Hippophae Rhamnoides Seed Oil, Menthol Nigella Sativa Seed Oil, Panthenol, Urtica Dioica (Nettle) Extract, Biotin, Amodimethicone/Morpholinomethyl Silsesquioxane Copolymer, Ascorbic Acid, Caprylyl Glycol, Cetrimonium Chloride (as an anti-static agent, en tant qu'agent anti-statique), Citric Acid, Disodium EDTA, Ethylhexyl Methoxycinnamate, Parfum (Fragrance), Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Butyl Methoxydibenzoylmethane, Tetrasodium EDTA, Menthyl Lactate, Hexylene Glycol, Chlorphenesin, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Potassium Hydroxide, Potassium Sorbate, BHT, Trideceth-5, Sodium Benzoate, Coumarin, Butylene Glycol.",https://www.ulta.com/p/prep-rally-prime-prep-detangler-pimprod2024578
